0,1,2,3,4,5,6,7,8,9,10,11,12
,5.7,"Agriculture – Smart Irrigation, Green House Control",,,,,,,,,,
,5.8,"Industry – Machine Diagnostics & Prognosis, Indoor Air Quality Monitoring",,,,,,,,,,
,5.9,"Health & Lifestyle – Health & Fitness Monitoring, Wearable Electronics",,,,,,,,,,
6,,Create your own IoT,6,,,,,,,,,
,6.1,"IoT Hardware - Arduino, Raspberry Pi, ESP32, Cloudbit/Littlebits, Particle
Photon, Beaglebone Black.",,,,,,,,,,
,6.2,"IoT Software - languages for programming IoT hardware, for middleware
applications and API development, for making front ends, REST and JSON-LD",,,,,,,,,,
,6.3,A comparison of IoT boards and platforms in terms of computing,,,,,,,,,,
,6.4,"A comparison of IoT boards and platforms in terms of development environments
and communication standards",,,,,,,,,,
,6.5,A comparison of boards and platforms in terms of connectivity,,,,,,,,,,
,6.6,A comparison of IoT software platforms,,,,,,,,,,
Textbooks:,,,,,,,,,,,,
1,"David Hanes, Gonzalo Salgueiro, Patrick Grossetete, Rob Barton, Jerome Henry, “IoT
Fundamentals – Networking Technologies, Protocols, and Use Cases for the Internet
of Things”, 1st Edition, Published by Pearson Education, Inc, publishing as Cisco Press,
2017.",,,,,,,,,,,
2,"Hakima Chaouchi, “The Internet of Things - Connecting Objects to the Web”, 1st
Edition, Wiley, 2010.",,,,,,,,,,,
3,"Perry Lea, “Internet of things For Architects”, 1st Edition, Packt Publication, 2018",,,,,,,,,,,
4,"Arshdeep Bahga, Vijay Madisetti, “Internet of Things – Hands-On Approach”, 2nd
Edition, Universities Press, 2016.",,,,,,,,,,,
References:,,,,,,,,,,,,
1,"Adrian McEwen & Hakim Cassimally, “Designing the Internet of Things”, 1st Edition,
Wiley, 2014.",,,,,,,,,,,
2,"Donald Norris, “Raspberry Pi – Projects for the Evil Genius”, 2nd Edition, McGraw Hill,
2014.",,,,,,,,,,,
3,"Anand Tamboli ,“Build Your Own IoT Platform”, 1st Edition, Apress, 2019.",,,,,,,,,,,
Assessment:,,,,,,,,,,,,
Internal Assessment:,,,,,,,,,,,,
"Assessment consists of two class tests of 20 marks each. The first-class test is to be conducted
when approx. 40% syllabus is completed and second-class test when additional 40% syllabus is
completed. Duration of each test shall be one hour.",,,,,,,,,,,,
End Semester Theory Examination:,,,,,,,,,,,,
1,Question paper will comprise of total six questions.,,,,,,,,,,,
2,All question carries equal marks,,,,,,,,,,,
3,"Questions will be mixed in nature (for example supposed Q.2 has part (a) from module 3
then part (b) will be from any module other than module 3)",,,,,,,,,,,
4,Only Four question need to be solved.,,,,,,,,,,,
5,"In question paper weightage of each module will be proportional to number of respective
lecture hours as mention in the syllabus.",,,,,,,,,,,
Useful Links,,,,,,,,,,,,
1,https://nptel.ac.in/courses/106/105/106105166/,,,,,,,,,,,
2,https://nptel.ac.in/courses/108/108/108108098/,,,,,,,,,,,
3,https://nptel.ac.in/courses/106/105/106105195/,,,,,,,,,,,
4,https://www.coursera.org/specializations/IoT,,,,,,,,,,,
Course Code:,Course Title,Credit,,,,,,,,,,
CSDLO6012,Digital Signal & Image Processing,3,,,,,,,,,,
Prerequisite: Applied Engineering Mathematics,,,,,,,,,,,,
Course Objectives:,,,,,,,,,,,,
1,To understand the fundamental concepts of digital signal processing and Image processing,,,,,,,,,,,
2,To explore DFT for 1-D and 2-D signal and FFT for 1-D signal,,,,,,,,,,,
3,To apply processing techniques on 1-D and Image signals,,,,,,,,,,,
4,To apply digital image processing techniques for edge detection,,,,,,,,,,,
"Course Outcomes: On successful completion of course, learners will be able to:",,,,,,,,,,,,
1,Understand the concept of DT Signal and DT Systems,,,,,,,,,,,
2,Classify and analyze discrete time signals and systems,,,,,,,,,,,
3,Implement Digital Signal Transform techniques DFT and FFT,,,,,,,,,,,
4,Use the enhancement techniques for digital Image Processing,,,,,,,,,,,
5,Apply image segmentation techniques,,,,,,,,,,,
"Module
No.","Unit
No.",Topic details,Hrs.,,,,,,,,,
1.0,,Discrete-Time Signal and Discrete-Time System,10,,,,,,,,,
,1.1,"Introduction to Digital Signal Processing, Sampling and
Reconstruction, Standard DT Signals, Concept of Digital
Frequency, Representation of DT signal using Standard DT Signals,
Signal Manipulations (shifting, reversal, scaling, addition,
multiplication).",,,,,,,,,,
,1.2,"Classification of Discrete-Time Signals, Classification of Discrete-
Systems",,,,,,,,,,
,1.3,"Linear Convolution formulation for 1-D signal (without
mathematical proof), Circular Convolution (without
mathematical proof), Linear convolution using Circular
Convolution. Auto and Cross Correlation formula evaluation,
Concept of LTI system, Output of DT system using Time Domain
Linear Convolution.",,,,,,,,,,
2.0,,Discrete Fourier Transform,05,,,,,,,,,
,2.1,"Introduction to DTFT, DFT, Relation between DFT and DTFT,
IDFT",,,,,,,,,,
,2.2,"Properties of DFT without mathematical proof (Scaling and
Linearity, Periodicity, Time Shift and Frequency Shift, Time
Reversal, Convolution Property and Parseval’s Energy
Theorem). DFT computation using DFT properties.",,,,,,,,,,
,2.3,"Convolution of long sequences, Introduction to 2-D DFT",,,,,,,,,,
3.0,,Fast Fourier Transform,04,,,,,,,,,
,3.1,"Need of FFT, Radix-2 DIT-FFT algorithm,",,,,,,,,,,
,3.2,"DIT-FFT Flow graph for N=4 and 8, Inverse FFT algorithm.",,,,,,,,,,
,3.3,Spectral Analysis using FFT,,,,,,,,,,
4.0,,Digital Image Fundamentals,05,,,,,,,,,
,4.1,"Introduction to Digital Image, Digital Image Processing System,
Sampling and Quantization",,,,,,,,,,
,4.2,"Representation of Digital Image, Connectivity",,,,,,,,,,
,4.3,"Image File Formats: BMP, TIFF and JPEG.",,,,,,,,,,
5.0,,Image Enhancement in Spatial domain,09,,,,,,,,,
,5.1,"Gray Level Transformations, Zero Memory Point Operations,",,,,,,,,,,
,5.2,"Histogram Processing, Histogram equalization.",,,,,,,,,,
,5.3,,,,,,,,,,,
,,"Neighborhood processing, Image averaging, Image Subtraction,",,,,,,,,,,
,,"Smoothing Filters - Low pass averaging, Sharpening Filters-High",,,,,,,,,,
,,"Pass Filter, High Boost Filter, Median Filter for reduction of noise",,,,,,,,,,
,,,,,,,,,,,,
6.0,,Image Segmentation,06,,,,,,,,,
,6.1,"Fundamentals, Segmentation based on Discontinuities",,,,,,,,,,
,,and Similarities,,,,,,,,,,
,6.2,"Point, line and Edge Detection, Image edge detection using Robert,",,,,,,,,,,
,,"Prewitt and Sobel masks, Image edge Detection using Laplacian mask",,,,,,,,,,
,6.3,"Region based segmentation: Region Growing, Region Splitting",,,,,,,,,,
,,and Merging,,,,,,,,,,
,,,,,,,,,,,,
,,Total,39,,,,,,,,,
Textbooks:,,,,,,,,,,,,
1,"John G. Proakis, Dimitris and G .Manolakis, “Digital Signal Processing: Principles,
Algorithms, and Applications”, 4th Edition, Pearson Education, 2007",,,,,,,,,,,
2,"A. Anand Kumar, “Digital Signal Processing”, 2nd Edition, PHI Learning Pvt. Ltd.
2014.",,,,,,,,,,,
3,"Rafel C. Gonzalez and Richard E. Woods, “Digital Image Processing”, Pearson
Education Asia, 4th Edition, 2018.",,,,,,,,,,,
4,"S. Sridhar, “Digital Image Processing”, 2nd Edition, Oxford University Press, 2012.",,,,,,,,,,,
References:,,,,,,,,,,,,
1,"Sanjit Mitra, “Digital Signal Processing: A Computer Based Approach”, 4th Edition,
Tata McGraw Hill, 2013",,,,,,,,,,,
2,"S. Salivahanan, A. Vallavaraj, and C. Gnanapriya, “Digital Signal Processing”, 2nd
Edition, Tata McGraw Hill Publication, 2011.",,,,,,,,,,,
3,"S. Jayaraman, E. Esakkirajan and T. Veerkumar, “Digital Image Processing”, 3rd
Edition, Tata McGraw Hill Education Private Ltd, 2009.",,,,,,,,,,,
4,"Anil K. Jain, “Fundamentals of Digital Image Processing”, 4th Edition, Prentice Hall
of India Private Ltd,.1989",,,,,,,,,,,
Assessment:,,,,,,,,,,,,
Internal Assessment:,,,,,,,,,,,,
"Assessment consists of two class tests of 20 marks each. The first class test is to be conducted
when approx. 40% syllabus is completed and second class test when additional 50% syllabus
is completed. Duration of each test shall be one hour.",,,,,,,,,,,,
End Semester Theory Examination:,,,,,,,,,,,,
1,Question paper will comprise of total six questions.,,,,,,,,,,,
2,All question carries equal marks,,,,,,,,,,,
3,"Questions will be mixed in nature (for example supposed Q.2 has part (a) from module 3
then part (b) will be from any module other than module 3)",,,,,,,,,,,
4,Only Four question need to be solved.,,,,,,,,,,,
5,"In question paper weightage of each module will be proportional to number of respective
lecture hours as mention in the syllabus.",,,,,,,,,,,
Useful Links,,,,,,,,,,,,
1,https://nptel.ac.in/courses/,,,,,,,,,,,
2,https://swayam.gov.in,,,,,,,,,,,
Course Code:,Course Title,Credit,,,,,,,,,,
CSDLO6013,Quantitative Analysis,3,,,,,,,,,,
Prerequisite: Applied Mathematics,,,,,,,,,,,,
Course Objectives:,,,,,,,,,,,,
1,Introduction to the basic concepts in Statistics,,,,,,,,,,,
2,Understand concept of data collection & sampling methods.,,,,,,,,,,,
3,"Introduction to Regression, Multiple Linear Regression",,,,,,,,,,,
4,Draw interference using Statistical inference methods,,,,,,,,,,,
5,Tests of hypotheses,,,,,,,,,,,
Course Outcomes:,,,,,,,,,,,,
1,Recognize the need of Statistics and Quantitative Analysis,,,,,,,,,,,
2,Apply the data collection and the sampling methods.,,,,,,,,,,,
3,"Analyze using concepts of Regression, Multiple Linear Regression",,,,,,,,,,,
4,Formulate Statistical inference drawing methods.,,,,,,,,,,,
5,Apply Testing of hypotheses,,,,,,,,,,,
Module,Content,Hrs,,,,,,,,,,
1,Introduction to Statistics,6,,,,,,,,,,
,"Functions – Importance – Uses and Limitations of Statistics. Statistical data–
Classification, Tabulation, Diagrammatic & Graphic representation of data",,,,,,,,,,,
2,Data Collection & Sampling Methods,6,,,,,,,,,,
,"Primary & Secondary data, Sources of data, Methods of collecting data.
Sampling – Census & Sample methods –Methods of sampling, Probability
Sampling and Non-Probability Sampling.",,,,,,,,,,,
3,Introduction to Regression,8,,,,,,,,,,
,"Mathematical and Statistical Equation – Meaning of Intercept and Slope –
Error term – Measure for Model Fit –R2 – MAE – MAPE.",,,,,,,,,,,
4,Introduction to Multiple Linear Regression,8,,,,,,,,,,
,"Multiple Linear Regression Model, Partial Regression Coefficients, Testing
Significance overall significance of Overall fit of the model, Testing for
Individual Regression Coefficients",,,,,,,,,,,
5,Statistical inference,6,,,,,,,,,,
,"Random sample -Parametric point estimation unbiasedness and consistence
- method of moments and method of maximum likelihood.",,,,,,,,,,,
6,Tests of hypotheses,5,,,,,,,,,,
,"Null and Alternative hypotheses. Types of errors. Neyman-Pearson lemma-
MP and UMP tests.",,,,,,,,,,,
Textbooks:,,,,,,,,,,,,
1,"Agarwal, B.L. (2006):-Basic Statistics. Wiley Eastern Ltd., New Delhi",,,,,,,,,,,
2,"Gupta, S. P. (2011):-Statistical Methods. Sultanchand&Sons, New Delhi",,,,,,,,,,,
3,"Sivathanupillai, M &Rajagopal, K. R. (1979):-Statistics for Economics Students.",,,,,,,,,,,
4,"Hogg ,R.V. and Craig, A.T.(2006), An introduction to mathematical statistics, Amerind
publications.",,,,,,,,,,,
References:,,,,,,,,,,,,
1,"Arora, P.N., SumeetArora, S. Arora (2007):- Comprehensive Statistical Methods. Sultan
Chand, New Delhi",,,,,,,,,,,
2,"Montgomery,D.C. ,Peck E.A, & Vining G.G.(2003). Introduction to Linear Regression
Analysis. John Wiley and Sons,Inc.NY",,,,,,,,,,,
3,"Mood AM, Graybill FA, and Boes, D.C.(1985), Introduction to the theory of statistics,
McGrawhill Book Company, New Delhi.",,,,,,,,,,,
4,"Kapur, J.N. and Saxena,H.C.(1970), Mathematical statistics, Sultan Chand & company, New
Delhi..",,,,,,,,,,,
Assessment:,,,,,,,,,,,,
Internal Assessment:,,,,,,,,,,,,
"Assessment consists of two class tests of 20 marks each. The first class test is to be conducted
when approx. 40% syllabus is completed and second class test when additional 40% syllabus is
completed. Duration of each test shall be one hour.",,,,,,,,,,,,
End Semester Theory Examination:,,,,,,,,,,,,
1,Question paper will comprise of total six questions.,,,,,,,,,,,
2,All question carries equal marks,,,,,,,,,,,
3,"Questions will be mixed in nature (for example supposed Q.2 has part (a) from module 3
then part (b) will be from any module other than module 3)",,,,,,,,,,,
4,Only Four question need to be solved.,,,,,,,,,,,
5,"In question paper weightage of each module will be proportional to number of respective
lecture hours as mention in the syllabus.",,,,,,,,,,,
Lab Code,,,,,Lab Name,,,,Credit,,,
CSL601,,,,,System Programming and Compiler Construction Lab,,,,1,,,
,,,,,,,,,,,,
"Prerequisite: Theoretical computer science, Operating system. Computer Organization and
Architecture",,,,,,,,,,,,
"Lab Outcomes: At the end of the course, the students will be able to",,,,,,,,,,,,
,1,,Generate machine code by implementing two pass assemblers.,,,,,,,,,
,2,,,Implement Two pass macro processor,,,.,,,,,
,3,,,Parse the given input string by constructing Top down/Bottom-up parser,,,,.,,,,
4,4,,"Identify and Validate tokens for given high level language and Implement synthesis phase of
compiler.",,,,,,,,,
,,,,compiler.,,,,,,,,
,5,,,Explore LEX & YACC tools.,,,,,,,,
Suggested List of Experiments,,,,,,,,,,,,
Sr. No.,Title of Experiment,,,,,,,,,,,
1,,Implementations of two pass Assembler.,,,,,,,,,,
2,,Implementation of Two pass Macro Processor.,,,,,,,,,,
3,,Implementation of Lexical Analyzer.,,,,,,,,,,
4,,Implementation of Parser (Any one).,,,,,,,,,,
5,,Implementation of Intermediate code generation phase of compiler.,,,,,,,,,,
6,,Implementation of code generation phase of compiler.,,,,,,,,,,
7,,"Study and implement experiments on LEX, YACC.",,,,,,,,,,
Reference Books:,,,,,,,,,,,,
1,"Andrew W. Appel Princeton University. Jens Palsberg Modern Compiler.
Implementation in Java, Second Edition. Purdue University. CAMBRIDGE
University press @2002.",,,,,,,,,,,
2,"Charles N. Fischer, Richard J. LeBlanc Crafting a compiler with C , pearson
Education 2007",,,,,,,,,,,
Term Work:,,,,,,,,,,,,
1,Term work should consist of experiments based on suggested experiment list.,,,,,,,,,,,
2,"Journal must include at least 2 assignments on content of theory and practical of “System
Programming and Compiler Construction”",,,,,,,,,,,
3,"The final certification and acceptance of term work ensures that satisfactory performance of
laboratory work and minimum passing marks in term work.",,,,,,,,,,,
4,"The distribution of marks for term work shall be as follows:
Laboratory work (experiments/case studies): ....................................(15) Marks.
Assignment: ...................................................................................... (05) Marks.
Attendance ......................................................................................... (05) Marks
TOTAL: .............................................................................................. (25) Marks.",,,,,,,,,,,
Oral & Practical exam will be based on the above and CSC601 syllabus.,,,,,,,,,,,,
Lab Code,Lab Name,Credit,,,,,,,,,,
CSL602,Cryptography & System Security Lab,1,,,,,,,,,,
Prerequisite: Computer Network,,,,,,,,,,,,
Lab Objectives:,,,,,,,,,,,,
1,,,,To apply various encryption techniques,,,,,,,,
2,,,,To study and implement various security mechanism,,,,,,,,
3,,,,To explore the network security concept and tools,,,,,,,,
"Lab Outcomes: At the end of the course, the students will be able to",,,,,,,,,,,,
1,,,"apply the knowledge of symmetric and asymmetric cryptography to implement simple
ciphers.",,,,,,,,,
,2,,explore the different network reconnaissance tools to gather information about networks.,,,,,,,,,
3,3,,"explore and use tools like sniffers, port scanners and other related tools for analysing
packets in a Network.",,,,,,,,,
4,,,"set up firewalls and intrusion detection systems using open-source technologies and to
explore email security.",,,,,,,,,
,5,,explore various attacks like buffer-overflow and web application attack.,,,,,,,,,
Suggested List of Experiments,,,,,,,,,,,,
Sr. No,Title of Experiment,,,,,,,,,,,
1,"Design and Implementation of a product cipher using Substitution and Transposition
ciphers.",,,,,,,,,,,
2,Implementation and analysis of RSA crypto system.,,,,,,,,,,,
3,Implementation of Diffie Hellman Key exchange algorithm,,,,,,,,,,,
4,"For varying message sizes, test integrity of message using MD-5, SHA-1, and
analyse the performance of the two protocols. Use crypt APIs.",,,,,,,,,,,
5,"Study the use of network reconnaissance tools like WHOIS, dig, traceroute, ns
lookup to gather information about networks and domain registrars.",,,,,,,,,,,
6,"Study of packet sniffer tools: wireshark,:
1. Download and install wireshark and capture icmp, tcp, and http packets in
promiscuous mode.
2. Explore how the packets can be traced based on different filters.",,,,,,,,,,,
7,"Download and install nmap. Use it with different options to scan open ports, perform
OS fingerprinting, do a ping scan, tcp port scan, udp port scan, xmas scan etc.",,,,,,,,,,,
8,"Detect ARP spoofing using nmap and/or open-source tool ARPWATCH and
wireshark. Use arping tool to generate gratuitous arps and monitor using wireshark",,,,,,,,,,,
9,"Simulate DOS attack using Hping, hping3 and other tools",,,,,,,,,,,
10,"Simulate buffer overflow attack using Ollydbg, Splint, Cpp check etc",,,,,,,,,,,
11,"a. Set up IPSEC under LINUX.
b. Set up Snort and study the logs.",,,,,,,,,,,
12,Setting up personal Firewall using iptables,,,,,,,,,,,
13,Explore the GPG tool of linux to implement email security,,,,,,,,,,,
14,"SQL injection attack, Cross-Cite Scripting attack simulation",,,,,,,,,,,
15,Case Study /Seminar: Topic beyond syllabus related to topics covered.,,,,,,,,,,,
Term Work:,,,,,,,,,,,,
1,Term work should consist of 10 experiments.,,,,,,,,,,,
2,Journal must include at least 2 assignments on content of theory and practical of,,,,,,,,,,,
,“Cryptography and System Security “,,,,,,,,,,,
3,"The final certification and acceptance of term work ensures that satisfactory performance of
laboratory work and minimum passing marks in term work.",,,,,,,,,,,
4,"The distribution of marks for term work shall be as follows:
Lab Performance 15 Marks
Assignments 05 Marks
Attendance (Theory & practical) 05 Marks",,,,,,,,,,,
Lab Code,Lab Name,Credit,,,,,,,,,,
CSL603,Mobile Computing Lab,1,,,,,,,,,,
Prerequisite: Computer Networks,,,,,,,,,,,,
Lab Objectives:,,,,,,,,,,,,
1,,,To learn the mobile computing tools and software for implementation.,,,,,,,,,
2,,,To understand the security algorithms in mobile networks,,,,,,,,,
3,,,To learn security concepts,,,,,,,,,
"Lab Outcomes: At the end of the course, the students will be able to",,,,,,,,,,,,
,1,,develop and demonstrate mobile applications using various tools,,,,,,,,,
,2,,"articulate the knowledge of GSM, CDMA & Bluetooth technologies and demonstrate it.",,,,,,,,,
3,3,,"Students will able to carry out simulation of frequency reuse, hidden/exposed terminal
problem",,,,,,,,,
,4,,implement security algorithms for mobile communication network,,,,,,,,,
,5,,demonstrate simulation and compare the performance of Wireless LAN,,,,,,,,,
"Suggested List of Experiments
The softwares like Android Studio, J2ME, NS2, NS3 and any other software which is suitable
are recommended for performing the practical.",,,,,,,,,,,,
Sr. No.,Title of Experiment,,,,,,,,,,,
1,"Implementation a Bluetooth network with application as transfer of a file from one
device to another.",,,,,,,,,,,
2,To implement a basic function of Code Division Multiple Access (CDMA).,,,,,,,,,,,
3,Implementation of GSM security algorithms (A3/A5/A8),,,,,,,,,,,
4,"Illustration of Hidden Terminal/Exposed terminal Problem. Consider two Wi-fi
base stations (STA) and an access point (AP) located along the x-axis. All the
nodes are fixed. The AP is situated at the middle of the two STA, the distance of
separation being 150 m. [variable]. Node #0 and node #1 are the hidden
terminals. Both are transmitting some data to the AP (almost at same rate) at the
same time. The loss across the wireless link between each STA and the AP is
fixed at 50 dB irrespective of the distance of separation. To study how
RTS/CTS helps in wireless networks,
1. No RTS/CTS is being sent.
2. Nodes do exchange RTS/CTS packets.
Compare the no. of packet retransmissions required in both the cases (as
obtained in the output) and compare the results.",,,,,,,,,,,
5,"To setup & configuration of Wireless Access Point (AP). Analyze the Wi-Fi
communication range in the presence of the access point (AP) and the base
station (BS). Consider BS and AP are static. Find out the maximum distance to
which two way communications is possible. Try multiple iterations by adjusting
its distance in the code and test it.",,,,,,,,,,,
6,"Study of security tools (like Kismet,Netstumbler)",,,,,,,,,,,
7,Develop an application that uses GUI components.,,,,,,,,,,,
8,Write an application that draws basic graphical primitives on the screen.,,,,,,,,,,,
9,Develop an application that makes use of database.,,,,,,,,,,,
10,Develop a native application that uses GPS location information.,,,,,,,,,,,
11,Implement an application that creates an alert upon receiving a message.,,,,,,,,,,,
12,"Implementation of income tax/loan EMI calculator and deploy the same on real
devices (Implementation of any real time application)",,,,,,,,,,,
Term Work:,,,,,,,,,,,,
1,Term work should consist of 10 experiments.,,,,,,,,,,,
2,"Journal must include at least 2 assignments on content of theory and practical of “ Mobile
Computing”",,,,,,,,,,,
3,"The final certification and acceptance of term work ensures that satisfactory performance of
laboratory work and minimum passing marks in term work.",,,,,,,,,,,
4,"Total 25 Marks (Experiments: 15-marks, Attendance Theory& Practical: 05-marks,
Assignments: 05-marks)",,,,,,,,,,,
Useful Links,,,,,,,,,,,,
1,,https://nptel.ac.in/courses/106/106/106106147/,,,,,,,,,,
2,,https://www.coursera.org/learn/smart-device-mobile-emerging-technologies,,,,,,,,,,
Lab Code,Lab Name,Credit,,,,,,,,,,
CSL604,Artificial Intelligence Lab,1,,,,,,,,,,
"Prerequisite: Discrete Mathematics, Data Structure",,,,,,,,,,,,
Lab Objectives:,,,,,,,,,,,,
1,,,To realize the basic techniques to build intelligent systems,,,,,,,,,
2,,,To apply appropriate search techniques used in problem solving,,,,,,,,,
3,,,To create knowledge base for uncertain data,,,,,,,,,
"Lab Outcomes: At the end of the course, the students will be able to",,,,,,,,,,,,
,1,,Identify languages and technologies for Artificial Intelligence,,,,,,,,,
2,2,,"Understand and implement uninformed and informed searching techniques for real world
problems.",,,,,,,,,
,3,,Create a knowledge base using any AI language.,,,,,,,,,
,4,,Design and implement expert systems for real world problems.,,,,,,,,,
Suggested List of Experiments (programming in python),,,,,,,,,,,,
Sr. No.,Title of Experiment,,,,,,,,,,,
1,"One case study on AI applications published in IEEE/ACM/Springer or any prominent
journal.",,,,,,,,,,,
2,"Assignments on State space formulation and PEAS representation for various AI
applications",,,,,,,,,,,
3,Program on uninformed search methods.,,,,,,,,,,,
4,Program on informed search methods.,,,,,,,,,,,
5,Program on Game playing algorithms.,,,,,,,,,,,
6,Program for first order Logic,,,,,,,,,,,
7,Planning Programming,,,,,,,,,,,
8,Implementation for Bayes Belief Network,,,,,,,,,,,
"Note: Any other practical covering the syllabus topics and subtopics can be conducted.
The programming assignment for First order logics could be in the form of a mini project",,,,,,,,,,,,
Term Work:,,,,,,,,,,,,
1,Term work should consist of a minimum of 8 experiments.,,,,,,,,,,,
2,"Journal must include at least 2 assignments on content of theory and practical of “Artificial
Intelligence”",,,,,,,,,,,
3,"The final certification and acceptance of term work ensures that satisfactory performance of
laboratory work and minimum passing marks in term work.",,,,,,,,,,,
4,"Total 25 Marks (Experiments: 15-marks, Attendance Theory & Practical: 05-marks,
Assignments: 05-marks)",,,,,,,,,,,
Oral & Practical exam: Based on the entire syllabus of CSC604: Artificial Intelligence,,,,,,,,,,,,
Lab Code,,,,,,Lab Name,,Credit,,,,
CSL605,,,,,,Cloud Computing,,2,,,,
Prerequisite: Computer Networks,,,,,,,,,,,,
Lab Objectives: The course has following objectives,,,,,,,,,,,,
1,,,To make students familiar with key concepts of virtualization.,,,,,,,,,
2,,,"To make students familiar with various deployment models of cloud such as private, public,
hybrid and community so that they star using and adopting appropriate type of cloud for their
application.",,,,,,,,,
3,,,"To make students familiar with various service models such as IaaS, SaaS, PaaS, Security as
a Service (SECaaS) and Database as a Service.",,,,,,,,,
4,,,"To make students familiar with security and privacy issues in cloud computing and how to
address them.",,,,,,,,,
"Lab Outcomes: At the end of the course, the students will be able to",,,,,,,,,,,,
,1,,Implement different types of virtualization techniques.,,,,,,,,,
2,2,,"Analyze various cloud computing service models and implement them to solve the given
problems.",,,,,,,,,
,3,,Design and develop real world web applications and deploy them on commercial cloud(s).,,,,,,,,,
,4,,Explain major security issues in the cloud and mechanisms to address them.,,,,,,,,,
5,5,,,Explore various commercially available cloud services and recommend the appropriate one for,,,,,,,,
,,,,the given application.,,,,,,,,
6,,,Implement the concept of containerization,Implement the concept of containerization,,,,,,,,
Module,,,,,Detailed Contents,,Hours,,LO,,,
01,,,,,"Title: Introduction and overview of cloud computing.
Objective: To understand the origin of cloud computing, cloud
cube model, NIST model, characteristics of cloud, different
deployment models, service models, advantages and
disadvantages.",,2,,2,,,
02,,,,,"Title: To study and implement Hosted Virtualization using
VirtualBox& KVM.
Objective: To know the concept of Virtualization along with
their types, structures and mechanisms. This experiment should
have demonstration of creating and running Virtual machines
inside hosted hypervisors like VirtualBox and KVM with their
comparison based on various virtualization parameters.",,2,,1,,,
03,,,,,"Title: To study andImplement Bare-metal Virtualization using
Xen, HyperV or VMware Esxi.
Objective: To understand the functionality of Bare-metal
hypervisors and their relevance in cloud computing platforms.
This experiment should have demonstration of install, configure
and manage Bare Metal hypervisor along with instructions to
create and run virtual machines inside it. It should also
emphasize on accessing VMs in different environments along
with additional services provided by them like Load balancing,
Auto-Scaling, Security etc.",,4,,1,,,
04,"Title: To study andImplement Infrastructure as a Service using
AWS/Microsoft Azure.
Objective: To demonstrate the steps to create and run virtual
machines inside Public cloud platform. This experiment should
emphasize on creating and running Linux/Windows Virtual
machine inside Amazon EC2 or Microsoft Azure Compute and
accessing them using RDP or VNC tools.",4,2,,,,,,,,,
05,"Title: To study andImplement Platform as a Service using
AWS Elastic Beanstalk/ Microsoft Azure App Service.
Objective: To demonstrate the steps to deploy Web applications
or Web services written in different languages on AWS Elastic
Beanstalk/ Microsoft Azure App Service.",4,2,,,,,,,,,
06,"Title: To study andImplementStorage as a Service using Own
Cloud/ AWS S3, Glaciers/ Azure Storage.
Objective: To understand the concept of Cloud storage and to
demonstrate the different types of storages like object storage,
block level storages etc. supported by Cloud Platforms like Own
Cloud/ AWS S3, Glaciers/ Azure Storage.",4,2,,,,,,,,,
07,"Title: To study andImplementDatabase as a Service on
SQL/NOSQL databases like AWS RDS, AZURE SQL/
MongoDB Lab/ Firebase.
Objective: To know the concept of Database as a Service
running on cloud and to demonstrate the CRUD operations on
different SQL and NOSQL databases running on cloud like
AWS RDS, AZURE SQL/ Mongo Lab/ Firebase.",2,2,,,,,,,,,
08,"Title: To study andImplementSecurity as a Service on
AWS/Azure
Objective: To understand the Security practices available in
public cloud platforms and to demonstrate various Threat
detection, Data protection and Infrastructure protection services
in AWS and Azure.",3,4,,,,,,,,,
09,"Title: To study and implement Identity and Access
Management (IAM) practices on AWS/Azure cloud.
Objective: To understand the working of Identity and Access
Management IAM in cloud computing and to demonstrate the
case study based on Identity and Access Management (IAM) on
AWS/Azure cloud platform.",2,2,,,,,,,,,
10,"Title: To study and Implement Containerization using Docker
Objective: To know the basic differences between Virtual
machine and Container. It involves demonstration of creating,
finding, building, installing, and running Linux/Windows
application containers inside local machine or cloud platform.",4,6,,,,,,,,,
11,"Title: To study and implement container orchestration using
Kubernetes
Objective: To understand the steps to deploy Kubernetes
Cluster on local systems, deploy applications on Kubernetes,
creating a Service in Kubernetes, develop Kubernetes
configuration files in YAML and creating a deployment in
Kubernetes using YAML,",4,6,,,,,,,,,
12,"Mini-project: Design a Web Application hosted on public
cloud platform
[It should cover the concept of IaaS, PaaS, DBaaS, Storage as a
Service, Security as a Service etc.]",4,"3, 5",,,,,,,,,
Sr. No.,Suggested Assignment List (Any two),LO,,,,,,,,,,
1,"Assignment based on selection of suitable cloud platform solution
based on requirement analysis considering given problem
statement",5,,,,,,,,,,
2,"Assignment on recent trends in cloud computing and related
technologies",5,,,,,,,,,,
3,"Assignment on comparative study of different computing
technologies [Parallel, Distributed, Cluster, Grid, Quantum)",5,,,,,,,,,,
4,"Comparative study of different hosted and bare metal Hypervisors
with suitable parameters along with their use in public/private
cloud platform",1,,,,,,,,,,
5,"Assignment on explore and compare the similar type of services
provided by AWS and Azure [Any ten services]",5,,,,,,,,,,
Digital Material:,,,,,,,,,,,,
"Sr.
No.",Topic,Link,,,,,,,,,,
1,"Introduction and overview of cloud
computing","https://www.nist.gov/system/files/documents
/itl/cloud/NIST_SP-500-291_Version-
2_2013_June18_FINAL.pdf",,,,,,,,,,
